Year,State,Persons
2023,NSW,1006800
2023,VIC,828000
2023,QLD,594100
2023,SA,203000
2023,WA,298400
2023,TAS,58700
2023,NT,29400
2023,ACT,63400
2022,NSW,957700
2022,VIC,816600
2022,QLD,578800
2022,SA,194200
2022,WA,293300
2022,TAS,58800
2022,NT,29200
2022,ACT,56600
2021,NSW,990700
2021,VIC,841000
2021,QLD,624600
2021,SA,201700
2021,WA,293000
2021,TAS,62800
2021,NT,24000
2021,ACT,56100
2020,NSW,1035100
2020,VIC,853200
2020,QLD,605500
2020,SA,196500
2020,WA,299300
2020,TAS,62500
2020,NT,26500
2020,ACT,60400
2019,NSW,1024500
2019,VIC,875000
2019,QLD,593900
2019,SA,207900
2019,WA,312700
2019,TAS,62300
2019,NT,23700
2019,ACT,61300
2018,NSW,987400
2018,VIC,845400
2018,QLD,584900
2018,SA,214600
2018,WA,303600
2018,TAS,58800
2018,NT,26100
2018,ACT,71900
2017,NSW,976400
2017,VIC,789400
2017,QLD,570000
2017,SA,210500
2017,WA,309300
2017,TAS,58100
2017,NT,29100
2017,ACT,63200
2016,NSW,1005400
2016,VIC,802600
2016,QLD,605200
2016,SA,220900
2016,WA,313000
2016,TAS,58900
2016,NT,29400
2016,ACT,62600
2015,NSW,940000
2015,VIC,810100
2015,QLD,572700
2015,SA,227100
2015,WA,310800
2015,TAS,60800
2015,NT,30300
2015,ACT,59600
2014,NSW,961000
2014,VIC,762600
2014,QLD,546100
2014,SA,217700
2014,WA,298500
2014,TAS,60100
2014,NT,28600
2014,ACT,64300
